date,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,states,totalTestResults,totalTestResultsIncrease,score,death
2020-05-26,668,7899,9251,17155,37751,112110,5623724,111904,650,4221,1680551,16676,56,15868391,315659,-0.995267271995544,95462
2020-05-25,556,7847,9114,669,37702,94955,5511820,167737,642,4232,1663875,18543,56,15552732,408751,0,94794
2020-05-24,689,7801,9148,787,37741,94286,5344083,129848,639,4380,1645332,19122,56,15143981,390719,0.00583603978157043,94238
2020-05-23,1035,7770,9382,1130,38625,93499,5214235,115601,638,4621,1626210,22482,56,14753262,444574,-0.997823745012283,93549
2020-05-22,1286,7689,9708,3751,39999,92369,5098634,173269,633,4714,1603728,24127,56,14308688,451428,0,92514
2020-05-21,1381,7423,9757,4374,41353,88618,4925365,219192,616,4871,1579601,26751,56,13857260,499343,-0.996268749237061,91228
2020-05-20,1395,7319,10212,1453,41854,84244,4706173,167729,613,4907,1552850,21371,56,13357917,449396,-0.955054879188538,89847
2020-05-19,1327,7217,10292,1286,42019,82791,4538444,162780,606,5032,1531479,20700,56,12908521,422660,0,88452
2020-05-18,853,7064,10423,803,41935,81505,4375664,131764,602,5260,1510779,20613,56,12485861,348667,0,87125
2020-05-17,862,7003,10563,766,42018,80702,4243900,138117,593,5467,1490166,20384,56,12137194,351921,0,86272
2020-05-16,1249,6945,10880,1383,43520,79936,4105783,132367,592,5532,1469782,23835,56,11785273,394424,-0.997144997119904,85410
2020-05-15,1537,6890,11163,982,44553,78553,3973416,120258,589,5744,1445947,25407,56,11390849,406415,0,84161
2020-05-14,1846,6795,11338,2711,45912,77571,3853158,138644,582,5940,1420540,26796,56,10984434,388786,-0.999611437320709,82624
2020-05-13,1729,6713,11664,1273,46926,74860,3714514,117018,572,6164,1393744,21481,56,10595648,346215,0,80778
2020-05-12,1518,6585,11915,1192,47347,73587,3597496,110171,559,6350,1372263,22521,56,10249433,340824,-0.993064343929291,79049
2020-05-11,889,6488,11852,939,46554,72395,3487325,209165,551,6349,1349742,18080,56,9908609,374214,-0.999718368053436,77531
2020-05-10,1027,6445,11992,565,46741,71456,3278160,91529,547,6392,1331662,21112,56,9534395,274264,0,76642
2020-05-09,1459,6367,12165,1128,48576,70891,3186631,110811,543,6550,1310550,25280,56,9260131,323895,0.00741279125213623,75615
2020-05-08,1788,6294,12460,5697,49769,69763,3075820,104722,531,6793,1285270,27198,56,8936236,312980,-0.866162121295929,74156
2020-05-07,2732,5189,12832,3553,51445,64066,2971098,94737,529,7067,1258072,27228,56,8623256,329708,-0.998252481222153,72368
2020-05-06,1931,4911,13196,1505,52607,60513,2876361,98543,449,4758,1230844,25312,56,8293548,293617,0,69636
2020-05-05,2496,4794,13346,1399,53168,59008,2777818,105694,439,4810,1205532,22392,56,7999931,279781,0,67705
2020-05-04,983,4579,13390,1152,52375,57609,2672124,86891,430,4852,1183140,22106,56,7720150,236185,0,65209
2020-05-03,1247,4502,13343,1027,52623,56457,2585233,94072,425,4762,1161034,25759,56,7483965,239746,-0.998411297798157,64226
2020-05-02,1521,4386,13528,1276,54008,55430,2491161,80894,375,4846,1135275,29151,56,7244219,272341,-0.000701874494552612,62979
2020-05-01,1812,4300,13572,9055,54888,54154,2410267,106658,376,4712,1106124,32880,56,6971878,285664,-0.972098469734192,61458
2020-04-30,2153,4192,13982,1425,54910,45099,2303609,79570,373,4708,1073244,30063,56,6686214,275235,-0.964052528142929,59646
2020-04-29,2689,4093,14254,1865,56010,43674,2224039,89076,365,4803,1043181,26179,56,6410979,257142,0.981743574142456,57493
2020-04-28,2078,3798,14280,1253,56041,41809,2134963,69502,252,4760,1017002,25232,56,6153837,216600,0.530366539955139,54804
2020-04-27,1274,3720,14496,1183,56181,40556,2065461,62416,252,4867,991770,22404,56,5937237,194555,0,52726
2020-04-26,1212,2571,14753,1109,56167,39373,2003045,75262,227,5119,969366,27324,56,5742682,205595,-0.21911484003067,51452
2020-04-25,1634,2516,15056,1234,57346,38264,1927783,120083,227,5266,942042,40697,56,5537087,275824,0,50240
2020-04-24,1973,2468,15274,1198,57367,37030,1807700,75512,227,5194,901345,31217,56,5261263,246096,0,48606
2020-04-23,1806,2428,15407,1409,59215,35832,1732188,64683,227,5463,870128,31938,56,5015167,217920,0,46633
2020-04-22,2150,2370,15705,1591,59204,34423,1667505,-213981,227,5474,838190,29273,56,4797247,335191,-0.999465644359589,44827
2020-04-21,2478,2315,15636,1431,59795,32832,1881486,69105,214,5514,808917,27354,56,4462056,166966,0,42677
2020-04-20,1814,2193,15099,887,56720,31401,1812381,63578,214,5569,781563,24376,56,4295090,143980,-0.996775448322296,40199
2020-04-19,1765,2145,15005,734,56491,30514,1748803,68216,214,5603,757187,26930,56,4151110,148978,0,38385
2020-04-18,1896,2096,15388,1459,57798,29780,1680587,69461,205,5733,730257,27573,56,4002132,172481,0.0243383347988129,36620
2020-04-17,2116,2052,15493,1289,58904,28321,1611126,67602,187,6098,702684,31500,56,3829651,172149,-0.984150409698486,34724
2020-04-16,2196,1834,15830,1261,59500,27032,1543524,79312,176,5940,671184,31266,56,3657502,183046,0,32608
2020-04-15,2541,1710,15302,1176,59930,25771,1464212,57485,173,6033,639918,29834,56,3474456,149278,-0.0680301189422607,30412
2020-04-14,2356,1642,14735,1466,59601,24595,1406727,73268,171,5981,610084,25943,56,3325178,160030,0,27871
2020-04-13,1630,1549,14199,2304,56283,23129,1333459,57296,158,6170,584141,24136,56,3165148,125464,0.99567312002182,25515
2020-04-12,1698,1449,14188,694,55294,20825,1276163,67358,158,5962,560005,28168,56,3039684,140619,-0.945619304974874,23885
2020-04-11,2079,1399,13856,1208,55563,20131,1208805,64373,152,5986,531837,31323,56,2899065,158549,-0.997793912887573,22187
2020-04-10,2081,1179,12693,1999,53167,18923,1144432,56216,39,5937,500514,33778,56,2740516,155771,-0.00370952486991882,20108
2020-04-09,2054,918,12445,965,51323,16924,1088216,82731,39,5798,466736,34992,56,2584745,171012,0,18027
2020-04-08,1999,862,10276,1332,45359,15959,1005485,68034,39,4142,431744,30964,56,2413733,165594,-0.998031705617905,15973
2020-04-07,2042,738,9978,370,43849,14627,937451,79011,43,4047,400780,30416,56,2248139,169756,-0.997021853923798,13974
2020-04-06,1314,663,7079,883,36159,14257,858440,69846,39,2961,370364,28260,56,2078383,137734,-0.857918679714203,11932
2020-04-05,1340,609,5811,1131,32180,13374,788594,33621,39,650,342104,25843,56,1940649,129412,-0.090558722615242,10618
2020-04-04,1478,403,5500,1732,30456,12243,754973,143525,39,656,316261,33122,56,1811237,231115,0,9278
2020-04-03,1288,335,4928,1189,25723,10511,611448,54760,39,623,283139,31835,56,1580122,142407,-0.109846413135529,7800
2020-04-02,1175,305,4513,1320,22995,9322,556688,51405,32,576,251304,28135,56,1437715,131146,-0.992010354995728,6512
2020-04-01,1006,256,3937,1302,20906,8002,505283,44681,32,561,223169,26204,56,1306569,123021,-0.410768965880076,5337
2020-03-31,909,230,3487,1492,18155,6700,460602,44334,,506,196965,25000,56,1183548,114567,0.995705664157867,4331
2020-03-30,584,187,3087,584,15892,5208,416268,50165,,449,171965,21139,56,1068981,100592,0.672076404094696,3422
2020-03-29,506,156,2456,559,14055,4624,366103,41832,,433,150826,19683,56,968389,86974,0,2838
2020-03-28,550,140,2174,682,12393,4065,324271,68463,,390,131143,19785,56,881415,111430,-0.992506295442581,2332
2020-03-27,411,124,1792,777,10887,3383,255808,45156,,293,111358,19215,56,769985,101260,0.523882985115051,1782
2020-03-26,313,91,1299,655,7805,2606,210652,42359,,258,92143,17592,56,668725,106945,0,1371
2020-03-25,241,74,,873,5140,1951,168293,33006,,167,74551,12657,56,561780,82429,-0.994786977767944,1058
2020-03-24,235,,,261,3938,1078,135287,33947,,,61894,10896,56,479351,86845,0,817
2020-03-23,102,,,190,2812,817,101340,21109,,,50998,11190,56,392506,57023,0,582
2020-03-22,145,,,139,2173,627,80231,12428,,,39808,9228,56,335483,52323,-0.989463686943054,480
2020-03-21,62,,,316,1492,488,67803,16060,,,30580,6940,56,283160,52248,0,335
2020-03-20,70,,,44,1042,172,51743,11805,,,23640,6100,56,230912,49555,-0.998504161834717,273
2020-03-19,51,,,34,617,128,39938,8361,,,17540,4606,56,181357,39258,0.850532650947571,203
2020-03-18,26,,,18,416,94,31577,5394,,,12934,3357,56,142099,32196,-0.999295711517334,152
2020-03-17,24,,,33,325,76,26183,5856,,,9577,2128,56,109903,26755,-0.941292762756348,126
2020-03-16,22,,,6,,43,20327,10931,,,7449,1711,56,83148,23114,-0.994789838790894,102
2020-03-15,15,,,10,,37,9396,1987,,,5738,1262,51,60034,10202,0.99400806427002,80
2020-03-14,8,,,4,,27,7409,1876,,,4476,1026,51,49832,9816,0.992158055305481,65
2020-03-13,5,,,6,,23,5533,1241,,,3450,858,51,40016,9733,0.748551726341248,57
2020-03-12,9,,,5,,17,4292,991,,,2592,677,51,30283,6683,0,52
2020-03-11,6,,,3,,12,3301,1021,,,1915,418,51,23600,4447,-0.983476161956787,43
2020-03-10,2,,,0,,9,2280,494,,,1497,436,51,19153,3322,0,37
2020-03-09,4,,,3,,9,1786,442,,,1061,304,51,15831,2055,0.999559700489044,35
2020-03-08,4,,,0,,6,1344,196,,,757,170,51,13776,1130,0.0609470903873444,31
2020-03-07,1,,,0,,6,1148,274,,,587,142,51,12646,931,0.0094815194606781,27
2020-03-06,6,,,1,,6,874,161,,,445,138,40,11715,2177,-0.991673171520233,26
2020-03-05,4,,,1,,5,713,132,,,307,65,32,9538,1515,-0.52482134103775,20
2020-03-04,2,,,4,,4,581,576,,,242,128,26,8023,890,0,16
2020-03-03,3,,,0,,,5,2,,,114,42,16,7133,279,0,14
2020-03-02,3,,,0,,,3,1,,,72,30,12,6854,203,-0.99242627620697,11
2020-03-01,3,,,0,,,2,2,,,42,24,11,6651,96,0,8
2020-02-29,1,,,0,,,,0,,,18,3,8,6555,65,-0.998362392187119,5
2020-02-28,2,,,0,,,,0,,,15,2,7,6490,3,0,4
2020-02-27,0,,,0,,,,0,,,13,1,7,6487,6446,0.303622225920359,2
2020-02-26,2,,,0,,,,0,,,12,2,6,41,0,-0.00899976491928101,2
2020-02-25,0,,,0,,,,0,,,10,1,6,41,1,0,0
2020-02-24,0,,,0,,,,0,,,9,1,6,40,2,0,0
2020-02-23,0,,,0,,,,0,,,8,1,6,38,0,0,0
2020-02-22,0,,,0,,,,0,,,7,0,6,38,1,-0.997611403465271,0
2020-02-21,0,,,0,,,,0,,,7,0,6,37,1,-0.489601633765481,0
2020-02-20,0,,,0,,,,0,,,7,0,6,36,1,-0.0357710421085358,0
2020-02-19,0,,,0,,,,0,,,7,0,6,35,6,-0.0131301432847977,0
2020-02-18,0,,,0,,,,0,,,7,0,6,29,0,0.0282968878746033,0
2020-02-17,0,,,0,,,,0,,,7,0,6,29,1,-0.994670480489731,0
2020-02-16,0,,,0,,,,0,,,7,0,6,28,2,-0.114096790552139,0
2020-02-15,0,,,0,,,,0,,,7,0,6,26,4,-0.002219557762146,0
2020-02-14,0,,,0,,,,0,,,7,1,5,22,0,-0.970572888851166,0
2020-02-13,0,,,0,,,,0,,,6,1,5,22,1,-0.996704638004303,0
2020-02-12,0,,,0,,,,0,,,5,0,5,21,1,0.995089590549469,0
2020-02-11,0,,,0,,,,0,,,5,0,5,20,1,0,0
2020-02-10,0,,,0,,,,0,,,5,0,5,19,1,0.00268501043319702,0
2020-02-09,0,,,0,,,,0,,,5,0,4,18,0,-0.998817443847656,
2020-02-08,0,,,0,,,,0,,,5,0,4,18,2,0.641821086406708,
2020-02-07,0,,,0,,,,0,,,5,0,4,16,0,-0.983068466186523,
2020-02-06,0,,,0,,,,0,,,5,2,4,16,1,-0.999302864074707,
2020-02-05,0,,,0,,,,0,,,3,0,4,15,0,-0.946622401475906,
2020-02-04,0,,,0,,,,0,,,3,0,4,15,4,0,
2020-02-03,0,,,0,,,,0,,,3,1,4,11,3,-0.0381677746772766,
2020-02-02,0,,,0,,,,0,,,2,0,4,8,0,0,
2020-02-01,0,,,0,,,,0,,,2,0,4,8,0,0,
2020-01-31,0,,,0,,,,0,,,2,0,4,8,3,-0.999434053897858,
2020-01-30,0,,,0,,,,0,,,2,0,4,5,0,-0.997626483440399,
2020-01-29,0,,,0,,,,0,,,2,0,4,5,2,0,
2020-01-28,0,,,0,,,,0,,,2,0,3,3,0,-0.973866105079651,
2020-01-27,0,,,0,,,,0,,,2,0,3,3,1,0,
2020-01-26,0,,,0,,,,0,,,2,0,2,2,0,0,
2020-01-25,0,,,0,,,,0,,,2,0,2,2,0,-0.334366619586945,
2020-01-24,0,,,0,,,,0,,,2,0,2,2,0,-0.996363580226898,
2020-01-23,0,,,0,,,,0,,,2,0,2,2,1,-0.429077466328939,
2020-01-22,0,,,0,,,,0,,,2,0,2,1,1,0,
2020-01-21,0,,,0,,,,0,,,2,1,1,0,0,0,
2020-01-20,0,,,0,,,,0,,,1,0,1,0,0,0,
2020-01-19,0,,,0,,,,0,,,1,1,1,0,0,0.963108986616135,
2020-01-18,0,,,0,,,,0,,,0,0,1,0,0,-0.302579899628957,
2020-01-17,0,,,0,,,,0,,,0,0,1,0,0,0.0209938883781433,
2020-01-16,0,,,0,,,,0,,,0,0,1,0,0,-0.993533611297607,
2020-01-15,0,,,0,,,,0,,,0,0,1,0,0,-0.983490467071533,
2020-01-14,0,,,0,,,,0,,,0,0,1,0,0,0,
2020-01-13,0,,,0,,,,0,,,,0,1,0,0,0,
